report_date,Delta,BA.1,BA.2
2021-08-17,NA,NA,NA
2021-08-18,NA,NA,NA
2021-08-19,NA,NA,NA
2021-08-20,19.428571428571427,0,0
2021-08-21,26,0,0
2021-08-22,34.57142857142857,0,0
2021-08-23,43.285714285714285,0,0
2021-08-24,51,0,0
2021-08-25,57.714285714285715,0,0
2021-08-26,60.285714285714285,0,0
2021-08-27,64.14285714285714,0,0
2021-08-28,64.28571428571429,0,0
2021-08-29,61.285714285714285,0,0
2021-08-30,54.42857142857143,0,0
2021-08-31,46.857142857142854,0,0
2021-09-01,40,0,0
2021-09-02,34.42857142857143,0,0
2021-09-03,29.714285714285715,0,0
2021-09-04,23.857142857142858,0,0
2021-09-05,19.428571428571427,0,0
2021-09-06,16.857142857142858,0,0
2021-09-07,16.857142857142858,0,0
2021-09-08,15.571428571428571,0,0
2021-09-09,18.714285714285715,0,0
2021-09-10,16.285714285714285,0,0
2021-09-11,16.142857142857142,0,0
2021-09-12,16.428571428571427,0,0
2021-09-13,16.285714285714285,0,0
2021-09-14,16,0,0
2021-09-15,17,0,0
2021-09-16,15.285714285714286,0,0
2021-09-17,15.285714285714286,0,0
2021-09-18,17.142857142857142,0,0
2021-09-19,17.142857142857142,0,0
2021-09-20,17.285714285714285,0,0
2021-09-21,16.142857142857142,0,0
2021-09-22,16,0,0
2021-09-23,14,0,0
2021-09-24,13.285714285714286,0,0
2021-09-25,16.142857142857142,0,0
2021-09-26,17,0,0
2021-09-27,17.857142857142858,0,0
2021-09-28,20.285714285714285,0,0
2021-09-29,21.142857142857142,0,0
2021-09-30,23.285714285714285,0,0
2021-10-01,26.285714285714285,0,0
2021-10-02,25.285714285714285,0,0
2021-10-03,27.285714285714285,0,0
2021-10-04,29.428571428571427,0,0
2021-10-05,30.714285714285715,0,0
2021-10-06,32.857142857142854,0,0
2021-10-07,35.142857142857146,0,0
2021-10-08,36.714285714285715,0,0
2021-10-09,38.285714285714285,0,0
2021-10-10,44.714285714285715,0,0
2021-10-11,47.857142857142854,0,0
2021-10-12,47.57142857142857,0,0
2021-10-13,48.714285714285715,0,0
2021-10-14,50.714285714285715,0,0
2021-10-15,53.857142857142854,0,0
2021-10-16,56.285714285714285,0,0
2021-10-17,56.857142857142854,0,0
2021-10-18,57.857142857142854,0,0
2021-10-19,60.285714285714285,0,0
2021-10-20,61.42857142857143,0,0
2021-10-21,63.857142857142854,0,0
2021-10-22,60.857142857142854,0,0
2021-10-23,59.57142857142857,0,0
2021-10-24,57,0,0
2021-10-25,58,0,0
2021-10-26,56.42857142857143,0,0
2021-10-27,55.57142857142857,0,0
2021-10-28,51.714285714285715,0,0
2021-10-29,53.285714285714285,0,0
2021-10-30,55.714285714285715,0,0
2021-10-31,58.142857142857146,0,0
2021-11-01,56.285714285714285,0,0
2021-11-02,53,0,0
2021-11-03,49.57142857142857,0,0
2021-11-04,46,0,0
2021-11-05,46.142857142857146,0,0
2021-11-06,49,0,0
2021-11-07,48.42857142857143,0,0
2021-11-08,51.142857142857146,0,0
2021-11-09,52.142857142857146,0,0
2021-11-10,50.857142857142854,0,0
2021-11-11,52.42857142857143,0,0
2021-11-12,55.42857142857143,0,0
2021-11-13,50.714285714285715,0,0
2021-11-14,53.57142857142857,0,0
2021-11-15,48.42857142857143,0,0
2021-11-16,51,0,0
2021-11-17,51,0,0
